family,id,name,intervals_semitones,tool_url
"chord","6","Major 6th","[0,4,7,9]","https://mychordfinder.com/"
"chord","7","Dominant 7th","[0,4,7,10]","https://mychordfinder.com/"
"chord","9","Dominant 9th","[0,4,7,10,14]","https://mychordfinder.com/"
"chord","11","Dominant 11th (complete)","[0,4,7,10,14,17]","https://mychordfinder.com/"
"chord","13","Dominant 13th (complete)","[0,4,7,10,14,17,21]","https://mychordfinder.com/"
"chord","major","Major","[0,4,7]","https://mychordfinder.com/"
"chord","minor","Minor","[0,3,7]","https://mychordfinder.com/"
"chord","maj7","Major 7th","[0,4,7,11]","https://mychordfinder.com/"
"chord","m7","Minor 7th","[0,3,7,10]","https://mychordfinder.com/"
"chord","dim","Diminished","[0,3,6]","https://mychordfinder.com/"
"chord","aug","Augmented","[0,4,8]","https://mychordfinder.com/"
"chord","sus2","Suspended 2nd","[0,2,7]","https://mychordfinder.com/"
"chord","sus4","Suspended 4th","[0,5,7]","https://mychordfinder.com/"
"chord","m6","Minor 6th","[0,3,7,9]","https://mychordfinder.com/"
"chord","add9","Added 9th","[0,4,7,14]","https://mychordfinder.com/"
"chord","m9","Minor 9th","[0,3,7,10,14]","https://mychordfinder.com/"
"chord","dim7","Diminished 7th","[0,3,6,9]","https://mychordfinder.com/"
"chord","m7b5","Half-diminished 7th","[0,3,6,10]","https://mychordfinder.com/"
"scale","major","Major","[0,2,4,5,7,9,11]","https://mychordfinder.com/guitar-scales"
"scale","minor","Natural minor","[0,2,3,5,7,8,10]","https://mychordfinder.com/guitar-scales"
"scale","major-pentatonic","Major pentatonic","[0,2,4,7,9]","https://mychordfinder.com/guitar-scales"
"scale","minor-pentatonic","Minor pentatonic","[0,3,5,7,10]","https://mychordfinder.com/guitar-scales"
"scale","blues","Minor blues","[0,3,5,6,7,10]","https://mychordfinder.com/guitar-scales"
"scale","dorian","Dorian","[0,2,3,5,7,9,10]","https://mychordfinder.com/guitar-scales"
"scale","mixolydian","Mixolydian","[0,2,4,5,7,9,10]","https://mychordfinder.com/guitar-scales"
"scale","harmonic-minor","Harmonic minor","[0,2,3,5,7,8,11]","https://mychordfinder.com/guitar-scales"
